Filter_1,Filter_1_1,Filter_1_2,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,1,1,21,2,2062,17,17,2,RT,C1,Treat(Cont)Stim,234.433,65.567,300,0.781443,0.218557,39,38,0,9.32,1.725447,10.726,0.195584
1,1,1,21,2,2063,17,17,3,RT,C1,Treat(Cont)Post,236.712,63.288,300,0.789,0.211,32,33,1,0,1.917818,8.447,0.154027
1,1,1,21,2,2064,18,18,1,RT,C1,Treat(Cont)Pre,247.235,52.765,300,0.824,0.176,28,27,0,0.781,1.954259,NA,NA
1,1,1,21,2,2065,18,18,2,RT,C1,Treat(Cont)Stim,230.524,69.476,300,0.768413,0.231587,32,33,1.101,0,2.105333,16.711,0.316706
1,1,1,21,2,2066,18,18,3,RT,C1,Treat(Cont)Post,228.442,71.558,300,0.761,0.239,38,37,0,7.046,1.934,18.793,0.356164
1,1,1,21,2,2067,19,19,1,RT,C1,Treat(Cont)Pre,280.845,19.155,300,0.936,0.064,10,9,0,5.304,2.128333,NA,NA
1,1,1,21,2,2068,19,19,2,RT,C1,Treat(Cont)Stim,296.954,3.046,300,0.989847,0.010153,3,2,0,173.8,1.523,-16.109,-0.840981
1,1,1,21,2,2069,19,19,3,RT,C1,Treat(Cont)Post,290.506,9.494,300,0.968,0.032,5,4,0,122.681,2.3735,-9.661,-0.504359
1,1,1,21,2,2070,20,20,1,RT,C1,Treat(Cont)Pre,300,0,300,1,0,1,0,0,NA,0,NA,NA
1,1,1,21,2,2071,20,20,2,RT,C1,Treat(Cont)Stim,292.579,7.421,300,0.975263,0.024737,4,3,0,101.041,2.473667,7.421,NA
1,1,1,21,2,2072,20,20,3,RT,C1,Treat(Cont)Post,294.545,5.455,300,0.982,0.018,3,3,0,266.886,1.818333,5.455,NA
1,1,1,21,3,2073,21,21,1,RT,C1,Treat(Cont)Pre,253.126,46.875,300.001,0.844,0.156,24,23,0,39.58,2.038043,NA,NA
1,1,1,21,3,2074,21,21,2,RT,C1,Treat(Cont)Stim,282.59,17.41,300,0.941967,0.058033,8,7,0,22.201,2.487143,-29.465,-0.628587
1,1,1,21,3,2075,21,21,3,RT,C1,Treat(Cont)Post,272.832,27.168,300,0.909,0.091,14,13,0,31.501,2.089846,-19.707,-0.420416
1,1,1,21,3,2076,22,22,1,RT,C1,Treat(Cont)Pre,211.195,88.806,300.001,0.704,0.296,42,41,0,3.04,2.166,NA,NA
1,1,1,21,3,2077,22,22,2,RT,C1,Treat(Cont)Stim,227.982,72.018,300,0.75994,0.24006,38,38,0,29.142,1.895211,-16.788,-0.189041
