Filter_1,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,21,2,44,15,15,2,BB,C1,Treat(Cont)Stim,291.036,8.964,300,0.97012,0.02988,4,3,0,157.001,2.988,4.605,1.056435
1,21,2,45,15,15,3,BB,C1,Treat(Cont)Post,288.996,11.004,300,0.963,0.037,4,3,0,246.342,3.668,6.645,1.524432
1,21,2,46,16,16,1,BB,C1,Treat(Cont)Pre,268.001,31.999,300,0.893,0.107,5,4,0,90.182,7.99975,,
1,21,2,47,16,16,2,BB,C1,Treat(Cont)Stim,285.415,14.585,300,0.951383,0.048617,7,6,0,124.361,2.430833,-17.414,-0.544205
1,21,2,48,16,16,3,BB,C1,Treat(Cont)Post,287.36,12.64,300,0.958,0.042,5,4,0,124.281,3.16,-19.359,-0.604988
1,21,2,49,17,17,1,BB,C1,Treat(Cont)Pre,269.779,30.221,300,0.899,0.101,3,2,0,103.801,15.1105,,
1,21,2,50,17,17,2,BB,C1,Treat(Cont)Stim,262.172,37.828,300,0.873907,0.126093,9,8,0,96.241,4.7285,7.607,0.251712
1,21,2,51,17,17,3,BB,C1,Treat(Cont)Post,247.238,52.762,300,0.824,0.176,9,8,0,56.16,6.59525,22.541,0.745872
1,21,2,52,18,18,1,BB,C1,Treat(Cont)Pre,247.761,52.239,300,0.826,0.174,12,12,0,50.041,4.35325,,
1,21,2,53,18,18,2,BB,C1,Treat(Cont)Stim,261.107,38.893,300,0.870357,0.129643,9,8,0,30.62,4.861625,-13.346,-0.25548
1,21,2,54,18,18,3,BB,C1,Treat(Cont)Post,264.403,35.597,300,0.881,0.119,7,6,0,43.581,5.932833,-16.642,-0.318574
1,21,2,55,19,19,1,BB,C1,Treat(Cont)Pre,266.839,33.161,300,0.889,0.111,9,8,0,61.241,4.145125,,
1,21,2,56,19,19,2,BB,C1,Treat(Cont)Stim,251.082,48.918,300,0.83694,0.16306,15,14,0,2.121,3.494143,15.757,0.475167
1,21,2,57,19,19,3,BB,C1,Treat(Cont)Post,275.42,24.58,300,0.918,0.082,7,6,0,123.601,4.096667,-8.581,-0.258768
1,21,2,58,20,20,1,BB,C1,Treat(Cont)Pre,293.34,6.66,300,0.978,0.022,3,2,0,151.181,3.33,,
1,21,2,59,20,20,2,BB,C1,Treat(Cont)Stim,290.531,9.469,300,0.968437,0.031563,4,3,0,131.401,3.156333,2.809,0.421772
1,21,2,60,20,20,3,BB,C1,Treat(Cont)Post,289.5,10.5,300,0.965,0.035,2,1,0,65.74,10.5,3.84,0.576577
1,21,3,61,21,21,1,BB,C1,Treat(Cont)Pre,293.86,6.14,300,0.98,0.02,3,2,0,179.961,3.07,,
1,21,3,62,21,21,2,BB,C1,Treat(Cont)Stim,266.734,33.266,300,0.889113,0.110887,10,9,0,70.601,3.696222,27.126,4.417915
1,21,3,63,21,21,3,BB,C1,Treat(Cont)Post,166.561,133.439,300,0.555,0.445,9,9,0,144.3,14.826556,127.299,20.732736
1,21,3,64,22,22,1,BB,C1,Treat(Cont)Pre,251.388,48.612,300,0.838,0.162,21,20,0,21.461,2.4306,,
1,21,3,65,22,22,2,BB,C1,Treat(Cont)Stim,268.24,31.76,300,0.894133,0.105867,8,7,0,137.521,4.537143,-16.852,-0.346663
1,21,3,66,22,22,3,BB,C1,Treat(Cont)Post,257.581,42.419,300,0.859,0.141,11,11,0,17.585,3.856273,-6.193,-0.127397
1,21,3,67,23,23,1,BB,C1,Treat(Cont)Pre,273.372,26.628,300,0.911,0.089,8,7,0,134.726,3.804,,
1,21,3,68,23,23,2,BB,C1,Treat(Cont)Stim,289.26,10.74,300,0.9642,0.0358,3,2,0,97.361,5.37,-15.888,-0.596665
1,21,3,69,23,23,3,BB,C1,Treat(Cont)Post,290.378,9.622,300,0.968,0.032,4,3,0,98.979,3.207333,-17.006,-0.638651
1,21,3,70,24,24,1,BB,C1,Treat(Cont)Pre,300,0,300,1,0,1,0,0,,,,
1,21,3,71,24,24,2,BB,C1,Treat(Cont)Stim,300,0,300,1,0,1,0,0,,,,
1,21,3,72,24,24,3,BB,C1,Treat(Cont)Post,300,0,300,1,0,1,0,0,,,,
1,21,3,73,25,25,1,BB,C1,Treat(Cont)Pre,280.269,19.731,300,0.934,0.066,10,9,0,7.541,2.192333,,
1,21,3,74,25,25,2,BB,C1,Treat(Cont)Stim,282.311,17.689,300,0.941037,0.058963,11,10,0,70.641,1.7689,-2.042,-0.103492
1,21,3,75,25,25,3,BB,C1,Treat(Cont)Post,272.181,27.819,300,0.907,0.093,8,8,0,49.981,3.477375,8.088,0.409913
1,21,3,76,26,26,1,BB,C1,Treat(Cont)Pre,251.477,48.523,300,0.838,0.162,18,17,0,10.6,2.854294,,
1,21,3,77,26,26,2,BB,C1,Treat(Cont)Stim,274.223,25.777,300,0.914077,0.085923,14,13,0,1.564,1.982846,-22.746,-0.468767
1,21,3,78,26,26,3,BB,C1,Treat(Cont)Post,258.031,41.969,300,0.86,0.14,25,24,0,10.98,1.748708,-6.554,-0.13507
1,21,3,79,27,27,1,BB,C1,Treat(Cont)Pre,285.905,14.095,300,0.953,0.047,6,5,0,90.02,2.819,,
1,21,3,80,27,27,2,BB,C1,Treat(Cont)Stim,275.184,24.816,300,0.91728,0.08272,13,12,0,48.1,2.068,10.721,0.760624
1,21,3,81,27,27,3,BB,C1,Treat(Cont)Post,292.599,7.401,300,0.975,0.025,8,7,0,146.6,1.057286,-6.694,-0.47492
1,21,3,82,28,28,1,BB,C1,Treat(Cont)Pre,249.301,50.699,300,0.831,0.169,8,7,0,47.161,7.242714,,
1,21,3,83,28,28,2,BB,C1,Treat(Cont)Stim,267.783,32.217,300,0.89261,0.10739,10,9,0,124.521,3.579667,-18.482,-0.364544
1,21,3,84,28,28,3,BB,C1,Treat(Cont)Post,244.937,55.063,300,0.816,0.184,13,12,0,18.381,4.588583,4.364,0.086077
1,21,3,85,29,29,1,BB,C1,Treat(Cont)Pre,300,0,300,1,0,1,0,0,,,,
1,21,3,86,29,29,2,BB,C1,Treat(Cont)Stim,300,0,300,1,0,1,0,0,,,,
1,21,3,87,29,29,3,BB,C1,Treat(Cont)Post,300,0,300,1,0,1,0,0,,,,
1,21,3,88,30,30,1,BB,C1,Treat(Cont)Pre,298.457,1.543,300,0.995,0.005,4,3,0,178.92,0.514333,,
1,21,3,89,30,30,2,BB,C1,Treat(Cont)Stim,297.44,2.56,300,0.991467,0.008533,2,1,0,136.582,2.56,1.017,0.659106
1,21,3,90,30,30,3,BB,C1,Treat(Cont)Post,292.445,7.556,300.001,0.975,0.025,2,1,0,208.625,7.556,6.013,3.896954
1,21,1,283,75,1,1,BB,BFT,Treat(Fresh)Pre,170.236,129.764,300,0.567,0.433,12,11,0,6.321,11.796727,,
1,21,1,284,75,1,2,BB,BFT,Treat(Fresh)Stim,151.425,148.575,300,0.50475,0.49525,11,11,0,7.101,13.506818,18.811,0.144963
1,21,1,285,75,1,3,BB,BFT,Treat(Fresh)Post,201.007,98.993,300,0.67,0.33,12,11,0,29.404,8.999364,-30.771,-0.23713
1,21,1,286,76,2,1,BB,BFT,Treat(Fresh)Pre,252.122,47.878,300,0.84,0.16,7,6,0,43.12,7.979667,,
1,21,1,287,76,2,2,BB,BFT,Treat(Fresh)Stim,293.34,6.66,300,0.9778,0.0222,4,3,0,198.62,2.22,-41.218,-0.860896
1,21,1,288,76,2,3,BB,BFT,Treat(Fresh)Post,289.067,10.933,300,0.964,0.036,3,3,0,77.702,3.644333,-36.945,-0.771649
1,21,1,289,77,3,1,BB,BFT,Treat(Fresh)Pre,20.717,279.283,300,0.069,0.931,11,12,66.961,0,23.273583,,
1,21,1,290,77,3,2,BB,BFT,Treat(Fresh)Stim,45.233,254.767,300,0.150777,0.849223,15,15,0,10.545,16.984467,-24.516,-0.087782
1,21,1,291,77,3,3,BB,BFT,Treat(Fresh)Post,29.742,270.258,300,0.099,0.901,17,18,24.261,0,15.014333,-9.025,-0.032315
1,21,1,292,78,4,1,BB,BFT,Treat(Fresh)Pre,215.088,84.912,300,0.717,0.283,11,10,0,12.06,8.4912,,
1,21,1,293,78,4,2,BB,BFT,Treat(Fresh)Stim,255.702,44.298,300,0.85234,0.14766,6,5,0,38.461,8.8596,-40.614,-0.478307
1,21,1,294,78,4,3,BB,BFT,Treat(Fresh)Post,194.553,105.447,300,0.649,0.351,15,15,0,47.366,7.0298,20.535,0.241839
